"","rt","rt_in_ms","correct","speed_condition","difficulty","code","tutorial","subject_nr"
"81",0.547409199993126,547.409199993126,"1",0,3,"li1999no",0,1
"82",0.775146199972369,775.146199972369,"1",0,3,"li1999no",0,1
"83",0.905489400029182,905.489400029182,"0",0,3,"li1999no",0,1
"84",0.867809500079602,867.809500079602,"1",0,3,"li1999no",0,1
"85",1.05149849993177,1051.49849993177,"1",0,3,"li1999no",0,1
"86",0.754631099989638,754.631099989638,"1",0,3,"li1999no",0,1
"87",0.765730299986899,765.730299986899,"1",0,3,"li1999no",0,1
"88",0.868733100011013,868.733100011013,"0",0,3,"li1999no",0,1
"89",0.727840599953197,727.840599953197,"1",0,2,"li1999no",0,1
"90",1.12913799996022,1129.13799996022,"1",0,2,"li1999no",0,1
"91",0.705963599961251,705.963599961251,"1",0,2,"li1999no",0,1
"92",1.12435999989975,1124.35999989975,"1",0,2,"li1999no",0,1
"93",0.65000219992362,650.00219992362,"1",0,2,"li1999no",0,1
"94",0.801670699962415,801.670699962415,"1",0,2,"li1999no",0,1
"95",0.850162000046112,850.162000046112,"1",0,2,"li1999no",0,1
"96",0.686070400057361,686.070400057361,"1",0,2,"li1999no",0,1
"97",0.583777599968016,583.777599968016,"1",0,1,"li1999no",0,1
"98",0.718606100068428,718.606100068428,"1",0,1,"li1999no",0,1
"99",0.988206599955447,988.206599955447,"1",0,1,"li1999no",0,1
"100",1.13967080006842,1139.67080006842,"0",0,1,"li1999no",0,1
"101",0.92816289991606,928.16289991606,"1",0,1,"li1999no",0,1
"102",0.629450000007637,629.450000007637,"1",0,1,"li1999no",0,1
"103",0.935040000011213,935.040000011213,"0",0,1,"li1999no",0,1
"104",0.598136399989016,598.136399989016,"1",0,1,"li1999no",0,1
"105",0.577832200098783,577.832200098783,"1",0,0,"li1999no",0,1
"106",0.585074999951757,585.074999951757,"1",0,0,"li1999no",0,1
"107",0.645971700083464,645.971700083464,"1",0,0,"li1999no",0,1
"108",0.533808900043368,533.808900043368,"1",0,0,"li1999no",0,1
"109",0.430917699937709,430.917699937709,"1",0,0,"li1999no",0,1
"110",0.550336599932052,550.336599932052,"1",0,0,"li1999no",0,1
"111",0.507606799947098,507.606799947098,"1",0,0,"li1999no",0,1
"112",0.474308900069445,474.308900069445,"1",0,0,"li1999no",0,1
"113",0.530197600019164,530.197600019164,"1",0,0,"li1999no",0,1
"114",0.642569000017829,642.569000017829,"1",0,0,"li1999no",0,1
"115",0.443365799961612,443.365799961612,"1",0,0,"li1999no",0,1
"116",0.468386700027622,468.386700027622,"1",0,0,"li1999no",0,1
"117",0.509861700003967,509.861700003967,"1",0,0,"li1999no",0,1
"118",0.618350100005046,618.350100005046,"0",0,0,"li1999no",0,1
"119",0.430216199951246,430.216199951246,"1",0,0,"li1999no",0,1
"120",0.506748999934644,506.748999934644,"1",0,0,"li1999no",0,1
"121",0.446593699976802,446.593699976802,"1",0,1,"li1999no",0,1
"122",0.461957899970002,461.957899970002,"1",0,1,"li1999no",0,1
"123",0.500403400044888,500.403400044888,"1",0,1,"li1999no",0,1
"124",0.550945900031365,550.945900031365,"1",0,1,"li1999no",0,1
"125",0.524511299910955,524.511299910955,"1",0,1,"li1999no",0,1
"126",0.599911800003611,599.911800003611,"1",0,1,"li1999no",0,1
"127",0.766228999942541,766.228999942541,"1",0,1,"li1999no",0,1
"128",0.42431030003354,424.31030003354,"1",0,1,"li1999no",0,1
"129",0.668228099937551,668.228099937551,"0",1,2,"li1999no",0,1
"130",0.565512100001797,565.512100001797,"1",1,2,"li1999no",0,1
"131",0.390374900074676,390.374900074676,"1",1,2,"li1999no",0,1
"132",0.358808799996041,358.808799996041,"0",1,2,"li1999no",0,1
"133",0.552120700012892,552.120700012892,"1",1,2,"li1999no",0,1
"134",0.468132900074124,468.132900074124,"0",1,2,"li1999no",0,1
"135",0.532822699984536,532.822699984536,"1",1,2,"li1999no",0,1
"136",0.443812999990769,443.812999990769,"1",1,2,"li1999no",0,1
"137",0.367306400090456,367.306400090456,"1",1,1,"li1999no",0,1
"138",0.364359500003047,364.359500003047,"0",1,1,"li1999no",0,1
"139",0.545737600070424,545.737600070424,"1",1,1,"li1999no",0,1
"140",0.428605000022799,428.605000022799,"1",1,1,"li1999no",0,1
"141",0.461398600018583,461.398600018583,"1",1,1,"li1999no",0,1
"142",0.471372699947096,471.372699947096,"1",1,1,"li1999no",0,1
"143",0.476815599948168,476.815599948168,"1",1,1,"li1999no",0,1
"144",0.406471400056034,406.471400056034,"1",1,1,"li1999no",0,1
"145",0.368872900027782,368.872900027782,"1",1,0,"li1999no",0,1
"146",0.401264899992384,401.264899992384,"1",1,0,"li1999no",0,1
"147",0.413710399996489,413.710399996489,"1",1,0,"li1999no",0,1
"148",0.480602800031193,480.602800031193,"1",1,0,"li1999no",0,1
"149",0.496381299919449,496.381299919449,"1",1,0,"li1999no",0,1
"150",0.491582199931145,491.582199931145,"1",1,0,"li1999no",0,1
"151",0.477565999957733,477.565999957733,"1",1,0,"li1999no",0,1
"152",0.536045899963938,536.045899963938,"1",1,0,"li1999no",0,1
"153",0.594123900053091,594.123900053091,"1",1,0,"li1999no",0,1
"154",0.449883399996907,449.883399996907,"0",1,0,"li1999no",0,1
"155",0.543421800015494,543.421800015494,"1",1,0,"li1999no",0,1
"156",0.41087470005732,410.87470005732,"1",1,0,"li1999no",0,1
"157",0.417987399967387,417.987399967387,"1",1,0,"li1999no",0,1
"158",0.440650700009428,440.650700009428,"0",1,0,"li1999no",0,1
"159",0.85488160001114,854.88160001114,"0",1,0,"li1999no",0,1
"160",0.479999199975282,479.999199975282,"1",1,0,"li1999no",0,1
"161",0.495052500045858,495.052500045858,"1",1,1,"li1999no",0,1
"162",0.499463799991645,499.463799991645,"1",1,1,"li1999no",0,1
"163",0.527962399995886,527.962399995886,"1",1,1,"li1999no",0,1
"164",0.46560849994421,465.60849994421,"1",1,1,"li1999no",0,1
"165",0.515298699960113,515.298699960113,"1",1,1,"li1999no",0,1
"166",0.664521700004116,664.521700004116,"1",1,1,"li1999no",0,1
"167",0.535172600066289,535.172600066289,"1",1,1,"li1999no",0,1
"168",0.475695800036192,475.695800036192,"1",1,1,"li1999no",0,1
"169",0.460666200029664,460.666200029664,"1",1,0,"li1999no",0,1
"170",0.556885699974373,556.885699974373,"1",1,0,"li1999no",0,1
